capture_id,file_path,label,source_domain,center_freq_hz,sample_rate_sps,gain_db,session_id,timestamp,environment,coverage_tags
bg00001,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00001_20260307T133257Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:32:57Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00002,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00002_20260307T133712Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:37:12Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00003,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00003_20260307T134126Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:41:26Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00004,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00004_20260307T134539Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:45:39Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00005,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00005_20260307T134951Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:49:51Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00006,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00006_20260307T135406Z_2437000000Hz_20971520sps_35g_s01.s16,no_drone,custom_bg,2437000000,20971520,35,s01,2026-03-07T13:54:06Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00007,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00007_20260307T135822Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T13:58:22Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00008,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00008_20260307T140244Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T14:02:44Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00009,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00009_20260307T140656Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T14:06:56Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00010,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00010_20260307T141113Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T14:11:13Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00011,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00011_20260307T141532Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T14:15:32Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00012,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00012_20260307T142013Z_2437000000Hz_20971520sps_50g_s01.s16,no_drone,custom_bg,2437000000,20971520,50,s01,2026-03-07T14:20:13Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00013,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00013_20260307T142438Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:24:38Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00014,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00014_20260307T142855Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:28:55Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00015,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00015_20260307T143329Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:33:29Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00016,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00016_20260307T143757Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:37:57Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00017,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00017_20260307T144221Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:42:21Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00018,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00018_20260307T144645Z_2437000000Hz_20971520sps_65g_s01.s16,no_drone,custom_bg,2437000000,20971520,65,s01,2026-03-07T14:46:45Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00019,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00019_20260307T145101Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T14:51:01Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00020,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00020_20260307T145516Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T14:55:16Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00021,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00021_20260307T145943Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T14:59:43Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00022,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00022_20260307T150404Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T15:04:04Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00023,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00023_20260307T150825Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T15:08:25Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00024,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00024_20260307T151240Z_2437000000Hz_20971520sps_35g_s02.s16,no_drone,custom_bg,2437000000,20971520,35,s02,2026-03-07T15:12:40Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00025,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00025_20260307T151653Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:16:53Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00026,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00026_20260307T152104Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:21:04Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00027,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00027_20260307T152516Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:25:16Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00028,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00028_20260307T152948Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:29:48Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00029,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00029_20260307T153427Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:34:27Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00030,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00030_20260307T153909Z_2437000000Hz_20971520sps_50g_s02.s16,no_drone,custom_bg,2437000000,20971520,50,s02,2026-03-07T15:39:09Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00031,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00031_20260307T154346Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T15:43:46Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00032,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00032_20260307T154819Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T15:48:19Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00033,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00033_20260307T155235Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T15:52:35Z,indoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00034,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00034_20260307T155647Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T15:56:47Z,indoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00035,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00035_20260307T160103Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T16:01:03Z,outdoor_quiet,indoor|outdoor|low_rf|high_rf|stationary|moving
bg00036,../gargoyle/EDGE SYSTEM/RF SUBSYSTEM/SW/no-drone-data/nd_run_02/bg00036_20260307T160516Z_2437000000Hz_20971520sps_65g_s02.s16,no_drone,custom_bg,2437000000,20971520,65,s02,2026-03-07T16:05:16Z,outdoor_busy,indoor|outdoor|low_rf|high_rf|stationary|moving
